Faculty_name,Abbrev
ACTA,ACTA
FBMS,FGB
HUM,HUM
RCH,RCH
MED,GNK
FRT,FRT
BETA,BETA
FSW,FSW
SBE,SBE
Other,Other
Unknown,Unknown
FGB,FGB
